"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2020.1945",102.315789473685,98.3994074411824,106.232171506188,96.3262000261913,108.305378921179
"2020.1973",103.63157894737,98.0929783615704,109.17017953317,95.1610203176776,112.102137577062
"2020.2000",104.947368421055,98.1639957589105,111.730741083199,94.5730951815175,115.321641660592
"2020.2027",106.26315789474,98.4303938297347,114.095921959745,94.2839789997526,118.242336789727
"2020.2055",107.578947368425,98.8216509178903,116.33624381896,94.1858182065137,120.972076530336
"2020.2082",108.89473684211,99.3015992246744,118.487874459545,94.2232989269918,123.566174757228
"2020.2110",110.210526315795,99.8487534186713,120.572299212919,94.3635621823499,126.05749044924
"2020.2137",111.52631578948,100.449114617881,122.603516961079,94.5851985300952,128.467433048865
"2020.2164",112.842105263165,101.092959165657,124.591251360673,94.8733369206838,130.810873605646
"2020.2192",114.15789473685,101.773207326782,126.542582146918,95.2171498334603,133.098639640239
"2020.2219",115.473684210535,102.484514473034,128.462853948036,95.6084633649262,135.338905056144
"2020.2247",116.78947368422,103.222728359931,130.356219008509,96.0409272051449,137.538020163295
"2020.2274",118.105263157905,103.984546925411,132.225979390399,96.5094912859883,139.701035029821
"2020.2301",119.42105263159,104.767292870248,134.074812392932,97.0100610316318,141.832044231548
"2020.2329",120.736842105275,105.568759716006,135.904924494544,97.5392619245121,143.934422286038
"2020.2356",122.05263157896,106.387103448949,137.71815970897,98.0942737889851,146.010989368935
"2020.2384",123.368421052645,107.220764262365,139.516077842924,98.6727111065434,148.064130998746
"2020.2411",124.68421052633,108.068408768931,141.300012283728,99.2725346372528,150.095886415407
"2020.2438",126.000000000015,108.928886496037,143.071113503992,99.8919848850922,152.108015114937
"2020.2466",127.3157894737,109.80119657263,144.830382374769,100.529531149877,154.102047797522
"2020.2493",128.631578947385,110.684461833076,146.578696061693,101.183831922536,156.079325972233
"2020.2521",129.94736842107,111.57790841433,148.316828427809,101.853703681673,158.041033160466
"2020.2548",131.263157894755,112.480849485943,150.045466303566,102.538096010763,159.988219778746
"2020.2575",132.57894736844,113.392672133569,151.765222603311,103.236071538203,161.921823198676
"2020.2603",133.894736842125,114.312826679612,153.476647004638,103.946789604656,163.842684079593
"2020.2630",135.21052631581,115.240817909395,155.180234722225,104.66949284463,165.751559786989
"2020.2658",136.526315789495,116.176197803061,156.876433775928,105.403496070882,167.649135508107
"2020.2685",137.84210526318,117.118559468932,158.565651057427,106.14817699629,169.53603353007
"2020.2712",139.157894736865,118.067532044138,160.248257429592,106.902968435037,171.412821038692
"2020.2740",140.47368421055,119.022776380453,161.924592040646,107.667351704678,173.280016716422
