,date,count,total
17,2019-12-26,1.0,1.0
22,2019-12-27,0.0,1.0
23,2019-12-28,0.0,1.0
24,2019-12-29,0.0,1.0
25,2019-12-30,0.0,1.0
13,2019-12-31,3.0,4.0
19,2020-01-01,1.0,5.0
4,2020-01-02,7.0,12.0
1,2020-01-03,8.0,20.0
26,2020-01-04,0.0,20.0
9,2020-01-05,4.0,24.0
27,2020-01-06,0.0,24.0
28,2020-01-07,0.0,24.0
2,2020-01-08,7.0,31.0
29,2020-01-09,0.0,31.0
6,2020-01-10,6.0,37.0
20,2020-01-11,1.0,38.0
30,2020-01-12,0.0,38.0
31,2020-01-13,0.0,38.0
32,2020-01-14,0.0,38.0
33,2020-01-15,0.0,38.0
34,2020-01-16,0.0,38.0
35,2020-01-17,0.0,38.0
36,2020-01-18,0.0,38.0
37,2020-01-19,0.0,38.0
38,2020-01-20,0.0,38.0
39,2020-01-21,0.0,38.0
40,2020-01-22,0.0,38.0
41,2020-01-23,0.0,38.0
42,2020-01-24,0.0,38.0
43,2020-01-25,0.0,38.0
44,2020-01-26,0.0,38.0
45,2020-01-27,0.0,38.0
46,2020-01-28,0.0,38.0
47,2020-01-29,0.0,38.0
48,2020-01-30,0.0,38.0
49,2020-01-31,0.0,38.0
50,2020-02-01,0.0,38.0
51,2020-02-02,0.0,38.0
16,2020-02-03,2.0,40.0
3,2020-02-04,7.0,47.0
52,2020-02-05,0.0,47.0
53,2020-02-06,0.0,47.0
54,2020-02-07,0.0,47.0
21,2020-02-08,1.0,48.0
14,2020-02-09,2.0,50.0
8,2020-02-10,5.0,55.0
55,2020-02-11,0.0,55.0
11,2020-02-12,3.0,58.0
18,2020-02-13,1.0,59.0
56,2020-02-14,0.0,59.0
57,2020-02-15,0.0,59.0
7,2020-02-16,6.0,65.0
58,2020-02-17,0.0,65.0
59,2020-02-18,0.0,65.0
60,2020-02-19,0.0,65.0
61,2020-02-20,0.0,65.0
62,2020-02-21,0.0,65.0
63,2020-02-22,0.0,65.0
5,2020-02-23,7.0,72.0
64,2020-02-24,0.0,72.0
65,2020-02-25,0.0,72.0
66,2020-02-26,0.0,72.0
15,2020-02-27,2.0,74.0
67,2020-02-28,0.0,74.0
68,2020-02-29,0.0,74.0
69,2020-03-01,0.0,74.0
70,2020-03-02,0.0,74.0
71,2020-03-03,0.0,74.0
72,2020-03-04,0.0,74.0
73,2020-03-05,0.0,74.0
74,2020-03-06,0.0,74.0
75,2020-03-07,0.0,74.0
76,2020-03-08,0.0,74.0
12,2020-03-09,3.0,77.0
0,2020-03-10,20.0,97.0
10,2020-03-11,4.0,101.0
